epoch,batch,batch_time(s),phase
0,0,20.33582854270935,0
0,1,19.14015483856201,0
0,2,19.311148405075073,0
0,3,19.181052684783936,0
0,4,19.13444709777832,0
0,5,19.03315806388855,0
0,6,19.198259592056274,0
0,7,19.113063097000122,0
0,8,19.191972970962524,0
0,9,19.255712032318115,0
0,10,19.08402729034424,0
0,11,19.126378059387207,0
0,12,19.17342782020569,0
0,13,19.099369764328003,0
0,14,19.140683889389038,0
0,15,19.12990665435791,0
0,16,19.424721717834473,0
0,17,19.2119882106781,0
0,18,19.09843111038208,0
0,19,19.05240511894226,0
0,20,19.036742448806763,0
0,21,18.91141104698181,0
0,22,18.997472524642944,0
0,23,18.938220024108887,0
0,24,18.952656030654907,0
0,0,7.216449022293091,1
0,1,7.71504807472229,1
0,2,7.2968926429748535,1
0,3,8.22823429107666,1
0,4,7.298931121826172,1
1,0,19.162614107131958,0
1,1,19.118258953094482,0
1,2,18.95201277732849,0
1,3,19.001153707504272,0
1,4,18.999752521514893,0
1,5,19.01542043685913,0
1,6,18.945850372314453,0
1,7,19.09601378440857,0
1,8,19.027003049850464,0
1,9,19.12015676498413,0
1,10,18.992339849472046,0
1,11,19.062376737594604,0
1,12,19.02040457725525,0
1,13,19.050016403198242,0
1,14,19.024366855621338,0
1,15,19.036880016326904,0
1,16,19.018604040145874,0
1,17,19.42709231376648,0
1,18,19.391607999801636,0
1,19,19.351163148880005,0
1,20,19.174293756484985,0
1,21,19.305853843688965,0
1,22,19.195215463638306,0
1,23,19.30146098136902,0
1,24,19.197540998458862,0
1,0,7.378173589706421,1
1,1,7.3100481033325195,1
1,2,8.194716691970825,1
1,3,7.292882919311523,1
1,4,8.19005823135376,1
2,0,19.30835509300232,0
2,1,19.252105474472046,0
2,2,19.22416925430298,0
2,3,19.32697296142578,0
2,4,19.252822399139404,0
2,5,19.226513385772705,0
2,6,19.229802131652832,0
2,7,19.257874727249146,0
2,8,19.249930381774902,0
2,9,19.259616136550903,0
2,10,19.210391759872437,0
2,11,19.24155068397522,0
2,12,19.17279553413391,0
2,13,19.227921962738037,0
2,14,19.209360122680664,0
2,15,19.261001586914062,0
2,16,19.16324496269226,0
2,17,19.223721981048584,0
2,18,19.12592649459839,0
2,19,19.237273931503296,0
2,20,19.193599939346313,0
2,21,19.2860004901886,0
2,22,19.18876075744629,0
2,23,19.201438426971436,0
2,24,19.217278003692627,0
2,0,7.3937766551971436,1
2,1,7.320546865463257,1
2,2,7.3989551067352295,1
2,3,7.315076112747192,1
2,4,7.388731241226196,1
3,0,19.382716417312622,0
3,1,19.246299266815186,0
3,2,19.1941499710083,0
3,3,19.1913321018219,0
3,4,19.210739374160767,0
3,5,19.323995351791382,0
3,6,19.160589933395386,0
3,7,19.258881092071533,0
3,8,19.212799787521362,0
3,9,19.271846294403076,0
3,10,19.160202026367188,0
3,11,19.21069025993347,0
3,12,19.15884780883789,0
3,13,19.29337477684021,0
3,14,19.18519616127014,0
3,15,19.258846282958984,0
3,16,19.283255338668823,0
3,17,19.27757954597473,0
3,18,19.123797178268433,0
3,19,19.0755877494812,0
3,20,18.97957682609558,0
3,21,19.080228090286255,0
3,22,19.029988050460815,0
3,23,19.043858528137207,0
3,24,19.029131412506104,0
3,0,7.341658115386963,1
3,1,7.277559757232666,1
3,2,7.3411126136779785,1
3,3,7.287838459014893,1
3,4,7.334920644760132,1
